,order_date,total_orders
0,2020-01-05,187
1,2020-01-12,172
2,2020-01-19,193
3,2020-01-26,216
4,2020-02-02,173
5,2020-02-09,175
6,2020-02-16,221
7,2020-02-23,202
8,2020-03-01,172
9,2020-03-08,199
10,2020-03-15,175
11,2020-03-22,176
12,2020-03-29,195
13,2020-04-05,207
14,2020-04-12,213
15,2020-04-19,243
16,2020-04-26,233
17,2020-05-03,268
18,2020-05-10,238
19,2020-05-17,227
20,2020-05-24,300
21,2020-05-31,259
22,2020-06-07,358
23,2020-06-14,321
24,2020-06-21,345
25,2020-06-28,362
26,2020-07-05,332
27,2020-07-12,371
28,2020-07-19,348
29,2020-07-26,357
30,2020-08-02,350
31,2020-08-09,413
32,2020-08-16,368
33,2020-08-23,343
34,2020-08-30,391
35,2020-09-06,251
36,2020-09-13,288
37,2020-09-20,235
38,2020-09-27,252
39,2020-10-04,226
40,2020-10-11,241
41,2020-10-18,228
42,2020-10-25,222
43,2020-11-01,219
44,2020-11-08,190
45,2020-11-15,211
46,2020-11-22,218
47,2020-11-29,257
48,2020-12-06,241
49,2020-12-13,189
50,2020-12-20,243
51,2020-12-27,226
52,2021-01-03,220
53,2021-01-10,253
54,2021-01-17,265
55,2021-01-24,264
56,2021-01-31,221
57,2021-02-07,235
58,2021-02-14,252
59,2021-02-21,270
60,2021-02-28,235
61,2021-03-07,243
62,2021-03-14,221
63,2021-03-21,220
64,2021-03-28,272
65,2021-04-04,351
66,2021-04-11,317
67,2021-04-18,345
68,2021-04-25,330
69,2021-05-02,306
70,2021-05-09,333
71,2021-05-16,363
72,2021-05-23,325
73,2021-05-30,366
74,2021-06-06,353
75,2021-06-13,440
76,2021-06-20,423
77,2021-06-27,414
78,2021-07-04,425
79,2021-07-11,375
80,2021-07-18,420
81,2021-07-25,436
82,2021-08-01,465
83,2021-08-08,416
84,2021-08-15,410
85,2021-08-22,419
86,2021-08-29,456
87,2021-09-05,352
88,2021-09-12,332
89,2021-09-19,359
90,2021-09-26,350
91,2021-10-03,308
92,2021-10-10,267
93,2021-10-17,278
94,2021-10-24,277
95,2021-10-31,252
96,2021-11-07,297
97,2021-11-14,297
98,2021-11-21,292
99,2021-11-28,287
100,2021-12-05,259
101,2021-12-12,285
102,2021-12-19,288
103,2021-12-26,278
104,2022-01-02,295
105,2022-01-09,311
106,2022-01-16,349
107,2022-01-23,307
108,2022-01-30,311
109,2022-02-06,303
110,2022-02-13,259
111,2022-02-20,307
112,2022-02-27,310
113,2022-03-06,372
114,2022-03-13,306
115,2022-03-20,320
116,2022-03-27,313
117,2022-04-03,351
118,2022-04-10,410
119,2022-04-17,401
120,2022-04-24,403
121,2022-05-01,362
122,2022-05-08,421
123,2022-05-15,352
124,2022-05-22,403
